Using cpu
Epoch [100/50000], Train Loss: 0.00023725, Test Loss: 0.00051188
Epoch [200/50000], Train Loss: 0.00011824, Test Loss: 0.00042902
Epoch [300/50000], Train Loss: 0.00012723, Test Loss: 0.00041138
Epoch [400/50000], Train Loss: 0.00011512, Test Loss: 0.00035077
Epoch [500/50000], Train Loss: 0.00011244, Test Loss: 0.00035431
Epoch [600/50000], Train Loss: 0.00012309, Test Loss: 0.00039307
Epoch [700/50000], Train Loss: 0.00011002, Test Loss: 0.00039765
Epoch [800/50000], Train Loss: 0.00012878, Test Loss: 0.00037202
Epoch [900/50000], Train Loss: 0.00011064, Test Loss: 0.00037613
Epoch [1000/50000], Train Loss: 0.00010465, Test Loss: 0.00039170
Epoch [1100/50000], Train Loss: 0.00012773, Test Loss: 0.00045136
Epoch [1200/50000], Train Loss: 0.00011959, Test Loss: 0.00038152
Epoch [1300/50000], Train Loss: 0.00010448, Test Loss: 0.00034762
Epoch [1400/50000], Train Loss: 0.00010915, Test Loss: 0.00038153
Epoch [1500/50000], Train Loss: 0.00011885, Test Loss: 0.00038586
Epoch [1600/50000], Train Loss: 0.00010865, Test Loss: 0.00040769
Epoch [1700/50000], Train Loss: 0.00011113, Test Loss: 0.00035786
Epoch [1800/50000], Train Loss: 0.00010211, Test Loss: 0.00035296
Epoch [1900/50000], Train Loss: 0.00010368, Test Loss: 0.00037030
Epoch [2000/50000], Train Loss: 0.00010255, Test Loss: 0.00038222
Epoch [2100/50000], Train Loss: 0.00010157, Test Loss: 0.00035929
Epoch [2200/50000], Train Loss: 0.00011338, Test Loss: 0.00035993
Epoch [2300/50000], Train Loss: 0.00010106, Test Loss: 0.00036927
Epoch [2400/50000], Train Loss: 0.00010486, Test Loss: 0.00036081
Epoch [2500/50000], Train Loss: 0.00010593, Test Loss: 0.00037973
Epoch [2600/50000], Train Loss: 0.00010251, Test Loss: 0.00037433
Epoch [2700/50000], Train Loss: 0.00011352, Test Loss: 0.00035684
Epoch [2800/50000], Train Loss: 0.00010479, Test Loss: 0.00035476
Epoch [2900/50000], Train Loss: 0.00010517, Test Loss: 0.00035215
Epoch [3000/50000], Train Loss: 0.00010178, Test Loss: 0.00036363
Epoch [3100/50000], Train Loss: 0.00010509, Test Loss: 0.00036048
Epoch [3200/50000], Train Loss: 0.00011661, Test Loss: 0.00034690
Epoch [3300/50000], Train Loss: 0.00010531, Test Loss: 0.00036032
Epoch [3400/50000], Train Loss: 0.00010331, Test Loss: 0.00036905
Epoch [3500/50000], Train Loss: 0.00011796, Test Loss: 0.00039791
Epoch [3600/50000], Train Loss: 0.00010429, Test Loss: 0.00038547
Epoch [3700/50000], Train Loss: 0.00010799, Test Loss: 0.00037703
Epoch [3800/50000], Train Loss: 0.00010451, Test Loss: 0.00037638
Epoch [3900/50000], Train Loss: 0.00010978, Test Loss: 0.00038148
Epoch [4000/50000], Train Loss: 0.00012928, Test Loss: 0.00038703
Epoch [4100/50000], Train Loss: 0.00010941, Test Loss: 0.00036056
Epoch [4200/50000], Train Loss: 0.00010085, Test Loss: 0.00036048
Epoch [4300/50000], Train Loss: 0.00010240, Test Loss: 0.00036090
Epoch [4400/50000], Train Loss: 0.00010125, Test Loss: 0.00035347
Epoch [4500/50000], Train Loss: 0.00010221, Test Loss: 0.00036234
Epoch [4600/50000], Train Loss: 0.00011480, Test Loss: 0.00043188
Epoch [4700/50000], Train Loss: 0.00010441, Test Loss: 0.00036266
Epoch [4800/50000], Train Loss: 0.00010222, Test Loss: 0.00036474
Epoch [4900/50000], Train Loss: 0.00010443, Test Loss: 0.00035712
Epoch [5000/50000], Train Loss: 0.00010068, Test Loss: 0.00036991
Epoch [5100/50000], Train Loss: 0.00010120, Test Loss: 0.00036641
Epoch [5200/50000], Train Loss: 0.00012225, Test Loss: 0.00045214
Epoch [5300/50000], Train Loss: 0.00011290, Test Loss: 0.00038404
Epoch [5400/50000], Train Loss: 0.00012151, Test Loss: 0.00037086
Epoch [5500/50000], Train Loss: 0.00011170, Test Loss: 0.00039210
Epoch [5600/50000], Train Loss: 0.00010649, Test Loss: 0.00039381
Epoch [5700/50000], Train Loss: 0.00010689, Test Loss: 0.00037017
Epoch [5800/50000], Train Loss: 0.00012010, Test Loss: 0.00043538
Epoch [5900/50000], Train Loss: 0.00010349, Test Loss: 0.00037935
Epoch [6000/50000], Train Loss: 0.00014564, Test Loss: 0.00041882
Epoch [6100/50000], Train Loss: 0.00010543, Test Loss: 0.00040711
Epoch [6200/50000], Train Loss: 0.00012460, Test Loss: 0.00043314
Epoch [6300/50000], Train Loss: 0.00011005, Test Loss: 0.00039926
Epoch [6400/50000], Train Loss: 0.00010033, Test Loss: 0.00039572
Epoch [6500/50000], Train Loss: 0.00010295, Test Loss: 0.00038226
Epoch [6600/50000], Train Loss: 0.00010451, Test Loss: 0.00043080
Epoch [6700/50000], Train Loss: 0.00010403, Test Loss: 0.00040990
Epoch [6800/50000], Train Loss: 0.00011224, Test Loss: 0.00042850
Epoch [6900/50000], Train Loss: 0.00012110, Test Loss: 0.00045969
Epoch [7000/50000], Train Loss: 0.00010718, Test Loss: 0.00041301
Epoch [7100/50000], Train Loss: 0.00012563, Test Loss: 0.00043297
Epoch [7200/50000], Train Loss: 0.00010709, Test Loss: 0.00038585
